TradingDate,StrikePrice,CallPut,Volume,AVGPrice
2021-06-17,622.5,C,2,37.29
2021-06-17,625,C,7,39.69714285714285
2021-06-17,630,C,27,37.74777777777778
2021-06-17,635,C,2,33.9
2021-06-17,640,C,23,32.35695652173913
2021-06-17,645,C,9,30.87888888888889
2021-06-17,650,C,68,28.874117647058842
2021-06-17,655,C,5,27.856
2021-06-17,660,C,33,25.28424242424242
2021-06-17,665,C,12,24.227499999999996
2021-06-17,670,C,9,22.633333333333333
2021-06-17,675,C,15,21.098000000000003
2021-06-17,680,C,20,19.1145
2021-06-17,690,C,9,16.963333333333335
2021-06-17,700,C,131,14.90068702290078
2021-06-17,710,C,26,12.995384615384618
2021-06-17,720,C,31,11.253225806451614
2021-06-17,730,C,10,9.888
2021-06-17,740,C,17,8.536470588235295
2021-06-17,750,C,53,7.489811320754717
2021-06-17,760,C,8,6.692499999999999
2021-06-17,770,C,9,5.69
2021-06-17,780,C,7,4.985714285714287
2021-06-17,790,C,1,4.2
2021-06-17,800,C,41,4.067560975609756
2021-06-17,810,C,3,3.4333333333333336
2021-06-17,820,C,2,3.215
2021-06-17,830,C,1,2.97
2021-06-17,840,C,7,2.748571428571428
2021-06-17,850,C,1,2.55
2021-06-17,860,C,1,2.26
2021-06-17,870,C,1,1.95
2021-06-17,880,C,2,1.9449999999999998
2021-06-17,890,C,2,1.78
2021-06-17,900,C,5,1.642
2021-06-17,910,C,1,1.51
2021-06-17,940,C,2,1.3
2021-06-17,950,C,3,1.1933333333333331
2021-06-17,960,C,30,1.151333333333334
2021-06-17,970,C,2,1.0950000000000002
2021-06-17,1000,C,5,0.916
2021-06-17,1025,C,30,0.7960000000000005
2021-06-17,1075,C,1,0.69
2021-06-17,1100,C,3,0.57
2021-06-17,1200,C,2,0.53
2021-06-17,1225,C,2,0.4
2021-06-17,100,P,1,0.05
2021-06-17,250,P,13,0.8123076923076925
2021-06-17,300,P,2,1.35
2021-06-17,310,P,9,1.4977777777777777
2021-06-17,320,P,19,1.6331578947368417
2021-06-17,330,P,2,1.85
2021-06-17,340,P,8,2.0312499999999996
2021-06-17,350,P,5,2.1260000000000003
2021-06-17,360,P,26,2.3138461538461543
2021-06-17,370,P,2,2.48
2021-06-17,380,P,10,2.8099999999999996
2021-06-17,390,P,6,3.0749999999999997
2021-06-17,400,P,5,3.4579999999999997
2021-06-17,420,P,12,3.960000000000001
2021-06-17,430,P,8,4.60625
2021-06-17,440,P,17,4.9176470588235315
2021-06-17,450,P,16,5.594375
2021-06-17,460,P,20,6.252000000000002
2021-06-17,470,P,42,6.6819047619047645
2021-06-17,480,P,7,7.622857142857143
2021-06-17,490,P,12,8.735833333333334
2021-06-17,500,P,54,9.705370370370371
2021-06-17,510,P,16,11.546250000000002
2021-06-17,520,P,19,12.658947368421051
2021-06-17,530,P,18,14.64611111111111
2021-06-17,535,P,8,16.005
2021-06-17,540,P,21,16.326666666666664
2021-06-17,545,P,7,17.812857142857144
2021-06-17,550,P,35,19.237142857142864
2021-06-17,555,P,5,20.532
2021-06-17,560,P,17,22.306470588235292
2021-06-17,565,P,3,22.676666666666666
2021-06-17,570,P,17,24.23176470588236
2021-06-17,575,P,12,27.698333333333334
2021-06-17,577.5,P,6,28.821666666666662
2021-06-17,580,P,18,27.983333333333334
2021-06-17,582.5,P,3,29.37
2021-06-17,585,P,9,30.043333333333333
2021-06-17,587.5,P,6,32.21666666666667
2021-06-17,590,P,12,31.678333333333338
2021-06-17,592.5,P,1,33.6
2021-06-17,595,P,4,33.6325
2021-06-17,597.5,P,9,34.142222222222216
2021-06-17,600,P,44,36.829318181818195
2021-06-17,602.5,P,9,39.34777777777778
2021-06-17,605,P,4,39.485
2021-06-17,607.5,P,1,38.1
2021-06-17,610,P,23,42.02565217391304
2021-06-17,612.5,P,3,44.199999999999996
2021-06-17,615,P,15,42.845333333333336
2021-06-17,617.5,P,4,43.94
2021-06-17,620,P,8,45.341249999999995
2021-06-17,625,P,2,49.34
2021-06-17,630,P,7,51.81142857142857
2021-06-17,635,P,2,53.03
2021-06-17,640,P,3,56.54666666666666
2021-06-17,645,P,2,61.1
2021-06-17,650,P,9,63.35666666666667
2021-06-17,655,P,1,66.96
2021-06-17,660,P,1,70.31
2021-06-17,665,P,1,74.25
