Timestamp,Price,CallPut,UnderLastTradePrice
2021-06-17 15:38:33.445,35,P,617.77
2021-06-18 09:35:40.187,50,C,612.31
2021-06-18 09:41:16.884,54.5,C,619.45
2021-06-18 10:05:21.100,36.07,P,615.99
2021-06-18 10:21:27.706,36.78,P,614.38
2021-06-18 11:02:32.475,35.45,P,617.62
2021-06-18 11:11:04.405,36.05,P,616.445
2021-06-18 11:24:37.423,36.55,P,614.65
2021-06-18 11:48:55.354,35.85,P,616.8
2021-06-18 11:55:02.153,52.67,C,616.3999
2021-06-18 11:55:53.799,52.6,C,616.5301
2021-06-18 12:28:46.824,58.15,C,624.8484
2021-06-18 12:31:45.942,33.19,P,623.82
2021-06-18 12:42:08.567,33.27,P,623.3
2021-06-18 12:42:08.567,33.27,P,623.3
2021-06-18 12:42:08.582,33.27,P,623.2
2021-06-18 12:53:41.630,59.47,C,627.1039
2021-06-18 13:18:24.069,32.5,P,627.722
2021-06-18 13:41:41.631,33.1,P,624.8
2021-06-18 13:41:42.554,33.1,P,624.65
2021-06-18 14:18:39.143,58.2,C,624
2021-06-18 14:18:58.196,33.65,P,623.96
2021-06-18 14:24:02.167,34.1,P,623.44
2021-06-18 14:43:41.346,35.31,P,619.79
2021-06-18 15:00:50.341,54.35,C,617.53
2021-06-18 15:37:48.981,55.95,C,620.0618
2021-06-18 15:55:03.692,34.2,P,624.2
2021-06-18 15:55:26.658,34.2,P,623.85
2021-06-18 15:55:29.054,34.2,P,623.84
2021-06-18 15:55:29.054,34.2,P,623.84
2021-06-18 15:55:29.069,34.2,P,623.84
2021-06-18 15:58:44.652,58.4,C,624.29
2021-06-18 15:58:48.314,34.24,P,624.23
2021-06-21 09:30:40.315,33,P,625.8
2021-06-21 09:32:05.935,35,P,620.64
2021-06-21 09:34:48.919,56,C,620.5
2021-06-21 09:34:48.925,56,C,620.5
2021-06-21 09:39:03.417,36.6,P,616.01
2021-06-21 09:39:03.442,36.6,P,616.01
2021-06-21 09:41:24.443,36.6,P,615.6372
2021-06-21 09:50:51.567,51.15,C,612.5999
2021-06-21 09:56:20.769,53,C,615.95
2021-06-21 09:58:17.607,36.55,P,616.04
2021-06-21 10:01:31.792,37,P,614.9
2021-06-21 10:06:45.769,37,P,614.58
2021-06-21 10:06:45.787,52,C,614.4826
2021-06-21 10:09:59.154,51.94,C,614.7476
2021-06-21 10:13:50.214,50.5,C,611.5136
2021-06-21 10:15:16.092,50.4,C,612.05
2021-06-21 10:24:18.647,38.85,P,610.63
2021-06-21 10:27:39.104,38.47,P,611.1666
2021-06-21 10:27:39.633,50.3,C,611.24
2021-06-21 10:35:55.678,38,P,611.86
2021-06-21 10:40:55.878,37,P,614.0601
2021-06-21 10:41:06.658,51.38,C,613.98
2021-06-21 10:41:06.664,51.41,C,613.98
2021-06-21 10:41:06.768,51.38,C,614.055
2021-06-21 10:41:06.772,51.41,C,614.055
2021-06-21 10:41:06.875,51.38,C,614.1383
2021-06-21 10:41:06.882,51.49,C,614.1383
2021-06-21 10:41:06.986,51.41,C,613.9753
2021-06-21 10:41:06.998,51.49,C,613.9753
2021-06-21 10:41:07.014,51.49,C,613.9753
2021-06-21 10:41:08.131,51.43,C,614.14
2021-06-21 10:41:08.132,51.48,C,614.14
2021-06-21 10:41:08.135,51.41,C,614.14
2021-06-21 10:41:08.796,51.46,C,614.15
2021-06-21 10:41:08.818,51.45,C,614.15
2021-06-21 10:41:11.088,51.45,C,614
2021-06-21 10:41:11.113,51.49,C,614.13
2021-06-21 10:41:11.558,51.46,C,614.12
2021-06-21 10:41:14.207,51.53,C,614.0293
2021-06-21 10:41:16.447,51.4,C,614.0264
2021-06-21 10:41:16.457,51.54,C,614.0264
2021-06-21 10:41:18.580,51.53,C,614.1097
2021-06-21 10:41:20.541,51.5,C,614.21
2021-06-21 10:41:24.348,51.62,C,614.378
2021-06-21 10:41:24.357,51.69,C,614.38
2021-06-21 10:41:29.460,51.4,C,614
2021-06-21 10:41:29.855,51.45,C,614.045
2021-06-21 10:41:30.973,51.49,C,614.17
2021-06-21 10:41:33.608,51.51,C,614.007
2021-06-21 10:41:33.616,51.51,C,614.007
2021-06-21 10:41:33.637,51.51,C,613.9775
2021-06-21 10:41:36.871,51.35,C,613.8681
2021-06-21 10:41:36.873,51.35,C,613.8681
2021-06-21 10:41:36.879,51.35,C,613.8681
2021-06-21 10:41:37.073,51.35,C,613.699
2021-06-21 10:41:40.708,51.1,C,613.3368
2021-06-21 10:41:48.283,51.27,C,613.655
2021-06-21 10:41:53.353,51.4,C,613.74
2021-06-21 10:41:58.304,51.34,C,613.7843
2021-06-21 10:41:59.675,51.3,C,613.87
2021-06-21 10:42:06.313,51.55,C,614.075
2021-06-21 10:42:06.317,51.55,C,614.075
2021-06-21 10:42:10.788,51.49,C,613.9748
2021-06-21 10:42:20.162,51.45,C,614
2021-06-21 10:42:22.195,51.45,C,613.955
2021-06-21 10:42:29.378,51.48,C,613.985
2021-06-21 10:42:31.142,51.4,C,614.04
2021-06-21 10:45:32.146,51.35,C,613.81
2021-06-21 10:45:36.313,51.4,C,613.962
2021-06-21 10:45:38.242,51.38,C,613.89
2021-06-21 10:46:39.273,50.9,C,613.18
2021-06-21 10:46:39.277,51.06,C,613.11
2021-06-21 10:56:28.582,52.1,C,615.62
2021-06-21 10:56:28.583,52.24,C,615.62
2021-06-21 10:58:27.984,36.65,P,615.18
2021-06-21 10:58:27.997,36.5,P,615.18
2021-06-21 10:58:28.007,36.5,P,615.18
2021-06-21 10:59:10.199,37,P,614.27
2021-06-21 11:01:11.825,52.5,C,616.05
2021-06-21 11:04:00.509,36,P,617.22
2021-06-21 11:04:03.342,53.3,C,617.43
2021-06-21 11:06:40.291,53.71,C,618.28
2021-06-21 11:18:23.256,35.28,P,617.5296
2021-06-21 11:28:27.736,54.7,C,620.265
2021-06-21 11:36:13.411,35.2,P,617.281
2021-06-21 11:36:13.411,35.2,P,617.281
2021-06-21 11:44:03.552,34,P,620.2
2021-06-21 11:45:11.908,33.95,P,620.31
2021-06-21 11:47:13.048,54.8,C,620.79
2021-06-21 11:47:13.049,54.8,C,620.79
2021-06-21 11:56:28.038,33.95,P,620.25
2021-06-21 12:13:58.861,34,P,620.06
2021-06-21 12:18:27.899,54.6,C,620.6307
2021-06-21 12:18:53.704,54.75,C,620.895
2021-06-21 12:18:53.705,54.92,C,620.895
2021-06-21 12:38:11.182,32.96,P,623.11
2021-06-21 12:43:00.566,56.29,C,623.025
2021-06-21 12:43:00.567,56.39,C,623.025
2021-06-21 12:43:00.664,56.35,C,623.025
2021-06-21 12:43:00.767,56.39,C,623.025
2021-06-21 12:43:06.668,56.33,C,622.98
2021-06-21 12:43:06.773,56.39,C,623.02
2021-06-21 12:43:12.263,56.33,C,622.9914
2021-06-21 12:43:14.655,56.4,C,623.015
2021-06-21 12:43:34.639,56.2,C,623
2021-06-21 12:43:36.641,56.2,C,623
2021-06-21 12:43:36.644,56.2,C,623
2021-06-21 12:43:41.485,56.2,C,623.07
2021-06-21 12:43:41.486,56.34,C,623.07
2021-06-21 12:43:41.735,56.24,C,622.93
2021-06-21 12:43:43.609,56.2,C,623.04
