TradingDate,CallPut,StrikePrice,Quantity
2021-06-15,C,490,1
2021-06-15,P,490,24
2021-06-15,C,500,3
2021-06-15,P,500,68
2021-06-15,C,510,0
2021-06-15,P,510,54
2021-06-15,C,520,20
2021-06-15,P,520,21
2021-06-15,C,530,3
2021-06-15,P,530,38
2021-06-15,C,535,0
2021-06-15,P,535,21
2021-06-15,C,540,0
2021-06-15,P,540,68
2021-06-15,C,545,1
2021-06-15,P,545,16
2021-06-15,C,550,7
2021-06-15,P,550,45
2021-06-15,C,555,0
2021-06-15,P,555,10
2021-06-15,C,560,4
2021-06-15,P,560,10
2021-06-15,C,565,1
2021-06-15,P,565,7
2021-06-15,C,570,7
2021-06-15,P,570,9
2021-06-15,C,575,3
2021-06-15,P,575,30
2021-06-15,C,577.5,1
2021-06-15,P,577.5,15
2021-06-15,C,580,1
2021-06-15,P,580,46
2021-06-15,C,582.5,0
2021-06-15,P,582.5,0
2021-06-15,C,585,0
2021-06-15,P,585,13
2021-06-15,C,587.5,0
2021-06-15,P,587.5,7
2021-06-15,C,590,0
2021-06-15,P,590,118
2021-06-15,C,592.5,0
2021-06-15,P,592.5,1
2021-06-15,C,595,1
2021-06-15,P,595,66
2021-06-15,C,597.5,2
2021-06-15,P,597.5,33
2021-06-15,C,600,8
2021-06-15,P,600,169
2021-06-15,C,602.5,1
2021-06-15,P,602.5,2
2021-06-15,C,605,11
2021-06-15,P,605,17
2021-06-15,C,607.5,102
2021-06-15,P,607.5,40
2021-06-15,C,610,88
2021-06-15,P,610,21
2021-06-15,C,612.5,6
2021-06-15,P,612.5,8
2021-06-15,C,615,15
2021-06-15,P,615,10
2021-06-15,C,617.5,11
2021-06-15,P,617.5,11
2021-06-15,C,620,39
2021-06-15,P,620,13
2021-06-15,C,622.5,9
2021-06-15,P,622.5,7
2021-06-15,C,625,173
2021-06-15,P,625,1
2021-06-15,C,630,20
2021-06-15,P,630,154
2021-06-15,C,635,6
2021-06-15,P,635,1
2021-06-15,C,640,17
2021-06-15,P,640,7
2021-06-15,C,645,5
2021-06-15,P,645,1
2021-06-15,C,650,254
2021-06-15,P,650,35
2021-06-15,C,655,15
2021-06-15,P,655,20
2021-06-15,C,660,7
2021-06-15,P,660,4
2021-06-15,C,665,16
2021-06-15,P,665,10
2021-06-15,C,670,17
2021-06-15,P,670,12
2021-06-15,C,680,72
2021-06-15,P,680,13
2021-06-15,C,690,51
2021-06-15,P,690,0
2021-06-15,C,700,226
2021-06-15,P,700,4
2021-06-15,C,710,25
2021-06-15,P,710,1
2021-06-15,C,720,26
2021-06-15,P,720,13
2021-06-15,C,730,59
2021-06-15,P,730,40
2021-06-15,C,740,82
2021-06-15,P,740,1
2021-06-15,C,750,529
2021-06-15,P,750,0
2021-06-15,C,760,112
2021-06-15,P,760,0
2021-06-15,C,770,84
2021-06-15,P,770,0
2021-06-15,C,780,37
2021-06-15,P,780,1
2021-06-15,C,790,108
2021-06-15,P,790,0
2021-06-15,C,800,135
2021-06-15,P,800,1
2021-06-15,C,810,12
